edr.peak_time;edr.peak_dat;edr.rise_time;edr.max_deriv;edr.amplitude;edr.max_deriv2
1573142387070;1.15159;2267;0.00794676;0.0109437;0.00699593
1573142389670;1.15438;1533;0.00572672;0.00497830;0.00700713
1573142391203;1.15733;1133;0.00459842;0.00266957;0.00269138
1573142395937;1.22969;3667;0.0345292;0.0745510;0.0219261
1573142400670;1.24832;2800;0.0254428;0.0425303;0.0257393
1573142405403;1.21036;200;2.51533e-05;-0.000277519;0.00304369
1573142412070;1.15381;467;0.00112331;-0.000325322;0.00569572
1573142416670;1.14221;1133;0.000387711;0.000458837;0.00190301
1573142417403;1.14237;733;0.000387022;0.000164866;0.000108403
1573142421070;1.14608;3000;0.00307429;0.00379789;0.00240777
1573142426137;1.20160;4200;0.0240253;0.0564493;0.0180735
1573142429003;1.21984;1866;0.0197036;0.0223162;0.0197196
1573142435737;1.15019;1134;0.000618829;0.000659347;0.00508809
1573142441603;1.14208;2000;0.00217334;0.00344515;0.00432093
1573142450537;1.11979;2267;0.00549276;0.00862706;0.00836306
1573142457137;1.10983;1400;0.00278068;0.00215268;0.00499525
1573142462870;1.10474;2000;0.00406418;0.00488293;0.00627166
1573142467203;1.12724;3800;0.0135297;0.0226022;0.00960491
1573142470670;1.11440;333;3.19122e-05;-0.000210166;-4.01795e-05
1573142478403;1.10692;2133;0.00530198;0.00719655;0.00551693
1573142501603;1.07029;3066;0.0160331;0.0243914;0.00808030
1573142509470;1.05445;2000;0.00520864;0.00669694;0.00855673
1573142511470;1.06012;2000;0.00520490;0.00567114;0.00150709
1573142514470;1.04273;133;9.29434e-05;0.000146747;0.00548676
1573142516803;1.05664;2066;0.0125662;0.0138063;0.0104280
1573142523070;1.03772;933;0.0127303;0.00612843;0.0140668
1573142524803;1.03567;800;0.0215639;0.00608730;0.0218392
1573142526270;1.03088;600;0.0113834;0.000951409;0.0108030
1573142528270;1.01624;867;0.0232799;0.00964093;0.0439310
1573142532270;1.01739;1400;0.0163317;0.0136456;0.0152863
1573142535470;1.00984;733;0.000298802;0.000167131;0.00261401
1573142540670;1.00063;667;0.00149028;0.000351310;0.00234551
1573142547603;0.993395;1800;0.00417330;0.00438917;0.00488019
1573142552803;0.980090;933;0.000645481;0.000365436;0.00305430
1573142562937;0.970923;1467;0.00569322;0.00502348;0.00500813
1573142566870;0.969201;1667;0.00220934;0.00208998;0.00319732
1573142577937;0.962377;1934;0.00740088;0.00825793;0.00563746
1573142642937;0.870256;2067;0.00235350;0.00296617;0.00211706
1573142657670;0.849615;1800;0.00142744;0.00169909;0.00262414
1573142660403;0.846530;266;7.07051e-06;1.73450e-05;0.000649261
1573142661403;0.846448;200;0.000187445;2.68221e-06;-0.00230479
1573142663603;0.849373;1266;0.00731476;0.00522447;0.00721169
1573142664537;0.849128;600;0.000190829;9.49502e-05;-0.000564295
1573142664737;0.849099;67;5.87386e-06;-1.64509e-05;-0.000448824
1573142671537;0.846517;1800;0.00117948;0.00134569;0.00206981
1573142680403;0.836621;333;0.000201336;2.14577e-06;0.000408060
1573142700337;0.818652;467;0.000321836;-3.18289e-05;0.000808053
1573142702403;0.817469;666;0.00126462;0.000282705;0.00171280
1573142713670;0.803910;267;0.000162829;2.32458e-05;-0.00197954
1573142715803;0.798125;600;0.00163562;0.000306427;0.00503309
1573142720137;0.800638;3134;0.00323759;0.00586385;0.00627881
1573142723137;0.800659;1534;0.00111995;0.000961483;0.00124289
1573142726803;0.802081;1600;0.00218568;0.00278610;0.00211196
1573142729537;0.808799;2734;0.00417940;0.00671786;0.00148293
1573142732070;0.820384;2067;0.0108673;0.0117733;0.00881897
1573142735670;0.845737;3600;0.0157529;0.0253525;0.0111475
1573142737803;0.854329;2133;0.00668424;0.00859231;0.00334547
1573142739737;0.856929;1334;0.00402658;0.00301898;0.00376486
1573142745737;0.871557;5267;0.00489437;0.0150337;0.00330884
1573142755937;0.874715;3667;0.0115591;0.0216906;0.00808073
1573142759403;0.878535;2333;0.00309380;0.00510925;0.00446574
1573142762270;0.875872;1333;0.00728813;0.00556195;0.0114392
1573142764537;0.875933;1334;0.00259783;0.00187409;0.00419705
1573142766670;0.876010;933;0.000914083;0.000341535;0.000975007
1573142769137;0.880778;1867;0.00460007;0.00470358;0.00447904
1573142780203;0.862204;1733;0.00441951;0.00449300;0.00388054
1573142784337;0.855717;334;0.000239561;6.81281e-05;0.00171484
1573142788737;0.850439;534;0.000254879;3.62992e-05;0.00168526
1573142791337;0.854811;1467;0.00738853;0.00493878;0.00582194
1573142794670;0.857329;2400;0.00359134;0.00474620;0.00560557
1573142796003;0.859452;1333;0.00233262;0.00212312;0.000785975
1573142798003;0.865027;2000;0.00525861;0.00557470;0.00309633
1573142800937;0.864188;334;4.67604e-05;5.56707e-05;0.000424441
1573142801270;0.864176;133;5.25268e-05;-1.54376e-05;3.36756e-05
1573142801803;0.864203;533;5.25268e-05;2.65241e-05;3.36756e-05
1573142803337;0.864170;667;0.000201413;4.79817e-05;0.00113908
1573142805270;0.866752;1867;0.00237611;0.00258297;0.00143912
1573142806137;0.866752;467;6.29641e-05;5.76377e-05;-0.000479627
1573142812403;0.901244;4800;0.0123213;0.0368977;0.00708267
1573142814937;0.930833;2534;0.0221140;0.0295895;0.0126159
1573142816603;0.957596;1666;0.0287509;0.0267625;0.0202362
1573142818470;1.02970;1867;0.0673782;0.0721094;0.0311786
1573142821203;1.00246;800;0.00650817;0.00247931;0.0166085
1573142823937;1.01059;1534;0.0189354;0.0171099;0.0237062
1573142828937;0.975384;467;0.000356587;-0.000202179;0.00333743
1573142836337;0.982628;4067;0.00681802;0.0164378;0.00578812
1573142842137;0.991268;2467;0.0174934;0.0241587;0.0108161
1573142844537;1.01075;2400;0.0159732;0.0194814;0.00805236
1573142851337;0.998777;1800;0.0144675;0.0174022;0.0137692
1573142854937;1.03601;3600;0.0165802;0.0372286;0.00853871
1573142860070;1.03131;1667;0.0140614;0.0144221;0.0156203
1573142864403;1.04828;2266;0.0224315;0.0296270;0.0228893
1573142868937;1.05603;2867;0.0141142;0.0176246;0.0154986
1573142873870;1.04139;1133;0.000827505;0.000892639;0.00669678
1573142875870;1.03934;600;0.00110554;5.10216e-05;0.00165204
1573142880803;1.05350;3533;0.0113306;0.0182997;0.0111006
1573142885937;1.06980;3867;0.00914179;0.0197459;0.00610213
1573142889270;1.07797;1667;0.0186260;0.0180769;0.0194907
1573142893737;1.09890;2467;0.0193540;0.0321294;0.0186911
1573142896470;1.10231;1667;0.00625809;0.00725698;0.00816265
1573142899937;1.07202;1000;0.00307651;0.00194788;0.0117135
1573142900003;1.07211;66;8.40876e-05;8.41618e-05;0.000644200
1573142903270;1.09339;2933;0.0111810;0.0209786;0.00760876
1573142905870;1.07716;267;0.0177011;0.000326753;-0.0543635
1573142908803;1.02497;1600;0.0921505;0.0757099;0.200064
1573142909270;1.02479;267;0.00173015;0.000273943;0.00270974
1573142910937;1.03417;1667;0.00930443;0.00937939;0.00636870
1573142917603;1.00424;1600;0.00247727;0.00212753;0.00288207
1573142919137;1.00862;1534;0.00544176;0.00438058;0.00233667
1573142929670;0.998300;2267;0.0110479;0.0149583;0.00925189
1573142932337;0.994280;800;0.00113294;0.000473380;0.00291802
1573142938403;0.983102;1533;0.00264644;0.00255179;0.00352710
1573142943937;0.978378;2334;0.00668640;0.00900799;0.0112187
1573142948870;0.976997;2067;0.00250877;0.00342733;0.00323959
1573142952070;0.976688;1533;0.00380791;0.00357169;0.00541280
1573142952470;0.976993;200;0.000245918;-8.73208e-05;-0.00725079
1573142954803;0.974650;1066;0.00503571;0.00529885;0.0131588
1573142958203;0.996001;3400;0.00843143;0.0213514;0.00420919
1573142960270;1.00280;2067;0.00487656;0.00679505;0.00169850
1573142967137;1.05053;5067;0.0159132;0.0529162;0.0124360
1573142968337;1.04974;334;2.20142e-05;-0.000168324;-0.00214904
1573142972137;1.02495;734;0.00154922;0.000532508;0.00791902
1573142979670;0.989086;400;0.000150642;-2.83718e-05;0.00134109
1573142988403;0.976033;2400;0.00359572;0.00480533;0.00354400
1573142991137;0.997652;2000;0.0198270;0.0222595;0.0157328
1573142997070;0.980675;733;0.00107446;0.000599921;0.00272890
1573142999937;0.989364;2867;0.00662554;0.00868869;0.00478032
1573143003603;0.991515;1600;0.00580475;0.00565988;0.00589267
1573143007403;0.991802;1600;0.00314453;0.00322801;0.00325837
1573143009670;1.00306;2267;0.00933476;0.0112544;0.00659593
1573143017537;0.989186;2134;0.00225094;0.00311011;0.00301545
1573143020803;0.984025;466;5.90524e-05;6.27041e-05;0.00144428
1573143026603;0.988643;3866;0.00281077;0.00642943;0.00177793
1573143029137;0.986312;600;0.00298815;0.00109899;0.00469599
1573143031070;0.992123;1933;0.00425927;0.00581050;0.00309787
1573143034870;1.04905;3800;0.0353091;0.0569283;0.0211144
1573143038003;1.06406;2533;0.00927822;0.0157998;0.00875134
1573143043737;1.03503;2000;0.00199696;0.00277460;0.00571059
1573143050070;1.00271;467;0.000823427;9.64403e-05;0.00242047
1573143051737;1.00171;667;0.000273209;-6.84261e-05;0.00124109
1573143053070;1.00186;667;0.000715557;8.61883e-05;0.000228898
1573143056737;1.00024;1667;0.00394096;0.00345558;0.00621133
1573143058003;1.00159;1266;0.00178759;0.00134850;0.000398265
1573143059603;1.00227;1066;0.000986570;0.000685215;0.000740214
1573143061870;1.00273;1133;0.00266669;0.00162923;0.00299128
1573143064603;1.00279;1200;0.00416880;0.00284594;0.00524460
1573143069870;0.982416;667;0.00120615;0.000231147;0.00324038
1573143073203;0.993463;2400;0.0123217;0.0122423;0.00685728
1573143075537;1.03716;1800;0.0368307;0.0432699;0.0299524
1573143076670;1.05380;1133;0.0220472;0.0166340;0.00141157
1573143078870;1.08231;1667;0.0353356;0.0264306;0.0240805
1573143079803;1.08293;800;0.00106108;0.000706315;-0.00338589
1573143083337;1.07343;1867;0.0113316;0.0125011;0.0204821
1573143094603;1.05579;3666;0.0198640;0.0353087;0.0140915
1573143096803;1.06583;2200;0.00714109;0.0100452;0.00307537
1573143097603;1.06837;800;0.00562460;0.00253713;0.000249180
1573143101203;1.08710;3400;0.0134128;0.0188245;0.00880321
1573143105203;1.07387;600;0.00111991;6.90222e-05;0.00236303
1573143109737;1.07291;2134;0.0124744;0.0125376;0.00782681
1573143114603;1.08531;4000;0.00741200;0.0141509;0.00642492
1573143117870;1.09523;1200;0.0466051;0.0284536;0.0476597
1573143119470;1.10707;1067;0.0237586;0.0121248;0.0148713
1573143122470;1.08530;533;7.20194e-05;0.000186920;0.00456602
1573143126470;1.11694;3267;0.0177864;0.0321906;0.0133002
1573143128003;1.12492;1533;0.00896339;0.00797784;0.00364638
1573143130803;1.13201;1933;0.00807025;0.0104725;0.0106722
1573143137537;1.10046;1934;0.00807105;0.0100018;0.0113168
1573143142337;1.08494;867;0.00131195;0.000277877;0.00275874
1573143146737;1.11591;3400;0.0152752;0.0331119;0.00867119
1573143149937;1.13522;3200;0.0134837;0.0193096;0.00403902
1573143155537;1.14981;3134;0.0157168;0.0253438;0.0135206
1573143161937;1.14602;2467;0.0151840;0.0211653;0.0139005
1573143164537;1.14386;1134;0.00462903;0.00398493;0.00850086
1573143167203;1.17722;2666;0.0249487;0.0333622;0.0160584
1573143170337;1.16252;867;0.00214368;0.00120807;0.00778925
1573143174870;1.19404;2400;0.0325979;0.0434083;0.0261674
1573143178337;1.19180;1200;0.00871934;0.00581205;0.00820140
1573143182070;1.23694;2867;0.0372661;0.0477158;0.0230432
1573143188070;1.22035;2600;0.00540411;0.00787377;0.00590921
1573143192003;1.17260;266;0.000546100;-0.000598073;0.0104702
1573143199137;1.17442;3267;0.0120632;0.0216765;0.00671308
1573143205937;1.14360;2067;0.00551006;0.00702798;0.00748941
1573143212737;1.12435;1000;0.00184698;0.00106108;0.00345107
1573143220937;1.11711;2200;0.00782327;0.0100775;0.00605667
1573143232537;1.08688;1467;0.000349368;0.000438333;0.00249648
1573143232870;1.08692;200;5.71703e-05;2.74181e-05;-0.000241819
1573143233337;1.08695;267;5.58143e-05;2.36034e-05;-0.000677606
1573143244003;1.06147;800;0.000937330;0.000272870;0.00233564
1573143247870;1.07961;2600;0.0145657;0.0190523;0.0106663
1573143259003;1.07387;5133;0.00561169;0.0182959;0.00356144
1573143268537;1.05174;1467;0.00191927;0.00199223;0.00382771
1573143270737;1.05018;734;0.00123302;0.000391841;0.00238651
1573143273670;1.05837;1933;0.00921315;0.00963819;0.00926651
1573143276737;1.09074;3067;0.0198327;0.0323778;0.0132619
1573143280803;1.05086;333;0.000103342;-0.000621200;0.0123363
1573143283470;1.04401;933;0.00212548;0.000949383;0.00462624
1573143308337;1.00047;2934;0.00482193;0.00747472;0.00488303
1573143311003;1.00865;2133;0.00629258;0.00821579;0.00529011
1573143313203;1.00919;1266;0.00246452;0.00178146;0.00357376
1573143314937;1.00680;267;9.02538e-05;-0.000181198;0.00271668
1573143316937;1.01626;1600;0.00986635;0.00947344;0.00850356
1573143317070;1.01642;0;0.000391440;0.00000;3.85903e-05
1573143318403;1.02131;1333;0.00659966;0.00488830;0.00396114
1573143320870;1.01534;600;0.000766012;4.12464e-05;0.00218918
1573143330937;0.984487;1800;0.00225792;0.00251937;0.00283441
1573143335937;0.978301;1200;0.000876275;0.000612855;0.00194501
1573143337803;0.979214;1600;0.000985949;0.000933588;0.000656278
1573143346403;0.972356;2066;0.00203522;0.00264317;0.00280446
1573143353137;1.00363;3734;0.0171797;0.0347162;0.0117267
1573143356603;1.00248;1466;0.00797720;0.00710440;0.00949453
1573143361337;1.01519;3534;0.00769475;0.0146801;0.00536523
1573143366070;0.994902;533;0.000956925;0.000138223;0.00442937
1573143380203;0.962283;1066;0.000165199;0.000357866;0.000960959
1573143383070;0.970158;2667;0.00587609;0.00781953;0.00485610
1573143386403;0.972834;1533;0.00663292;0.00586307;0.00761523
1573143397403;0.957177;2333;0.000799648;0.00135446;0.00189165
1573143402803;1.02153;5400;0.0271428;0.0643564;0.0185667
1573143405937;1.08435;2800;0.0389555;0.0623384;0.0190431
1573143407937;1.08622;1134;0.00978348;0.0119187;0.0242406
1573143410337;1.15229;2400;0.0473382;0.0660690;0.0225284
1573143411870;1.14429;467;0.00277092;-0.000651836;0.00363248
1573143415203;1.14254;1466;0.0120272;0.00992799;0.0110080
1573143419603;1.16126;2066;0.0428951;0.0507447;0.0427421
1573143421670;1.16775;1200;0.0138375;0.00873530;0.0119916
1573143424003;1.15320;400;0.000129766;-0.000156641;-0.000226565
1573143430537;1.12910;1800;0.0174376;0.0184000;0.0230055
1573143432403;1.12108;466;0.000429868;-0.000107765;0.00637027
1573143434737;1.13823;2000;0.0153935;0.0165635;0.0127208
1573143435803;1.14256;1066;0.00602944;0.00433087;0.000521946
1573143440803;1.17568;2333;0.0241400;0.0460016;0.0279854
1573143445670;1.35365;4000;0.108772;0.191815;0.111544
1573143449337;1.31481;1734;0.0243665;0.0261253;0.0455583
1573143451670;1.38674;2133;0.0619070;0.0713609;0.0443932
1573143458670;1.31402;2133;0.0101424;0.0135151;0.0131020
1573143462137;1.35783;2267;0.0342308;0.0472291;0.0282515
1573143464070;1.39204;1933;0.0269006;0.0342071;0.00960862
1573143464537;1.39196;0;9.96295e-05;0.00000;0.000483897
1573143465337;1.39312;800;0.00253540;0.00115681;0.000483897
1573143471937;1.34478;2134;0.0226342;0.0239319;0.0308294
1573143475137;1.37061;2400;0.0175571;0.0267093;0.0132861
1573143483537;1.32883;1867;0.0280149;0.0318742;0.0294388
1573143487803;1.30325;1800;0.00453696;0.00525105;0.0122387
1573143489670;1.29900;667;0.00426459;0.00112760;0.00719287
1573143493603;1.31319;2533;0.0156349;0.0254924;0.0176794
1573143497137;1.35981;3534;0.0245191;0.0466127;0.0142392
1573143500070;1.34849;800;0.00210563;0.000820637;0.00472247
1573143502537;1.34926;1267;0.00867691;0.00630212;0.0132321
1573143511537;1.33933;1867;0.0349719;0.0469531;0.0316753
1573143515137;1.41347;3600;0.0361797;0.0741408;0.00643034
1573143524603;1.29689;1400;0.00898387;0.00781167;0.0154837
1573143527537;1.28060;667;0.00234959;0.000507474;0.00589126
1573143532937;1.28693;2400;0.0181114;0.0227749;0.0108640
1573143537603;1.35147;3600;0.0483681;0.0702953;0.0411626
1573143545337;1.29475;2467;0.0102095;0.0155706;0.00945876
1573143552737;1.36703;3534;0.0404963;0.0926898;0.0339499
1573143559403;1.34130;3200;0.0141589;0.0279248;0.0146522
1573143564870;1.34685;3267;0.0113276;0.0168320;0.00913745
1573143566337;1.34918;1200;0.00327513;0.00231409;0.00147947
1573143570670;1.35467;1867;0.0372639;0.0411695;0.0439260
1573143572670;1.38167;2000;0.0241274;0.0270010;0.00941210
1573143574403;1.40607;1400;0.0293266;0.0242283;0.0214023
1573143577337;1.41090;2000;0.00921876;0.0116282;0.0137704
1573143579803;1.44288;1733;0.0338229;0.0347904;0.0336329
1573143586870;1.39813;2467;0.0296620;0.0458968;0.0222166
1573143593470;1.39354;3733;0.0381578;0.0654688;0.0306661
1573143595137;1.38896;600;0.00389315;0.00108242;0.00835868
1573143597603;1.36676;666;0.00138683;0.000759602;0.0139157
1573143604870;1.32082;600;0.00167923;0.000223398;0.00236735
1573143609137;1.33071;2734;0.0166658;0.0233585;0.0155734
1573143616937;1.44039;5200;0.0596193;0.140871;0.0284046
1573143623603;1.34687;933;0.00230041;0.00133145;0.00716662
1573143628470;1.33743;1533;0.00609302;0.00623262;0.0153127
